"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|Q9NYU2|UGGG1_HUMAN",-24.6720301776,-25.5896886978,-24.5360863384,-24.2226377645,-23.9195485761,-24.2362755589,6,7,8,9,8,6,0.0623499129930394,0.296428571428571,-0.806447771433334
"sp|Q9NYV4|CDK12_HUMAN",-24.0771831532,-25.4719096855,-23.6765686606,-24.5238815692,-24.1498193254,-24.0007696662,7,8,6,6,7,8,0.664086426914153,0.876509544215037,-0.183730312833333
"sp|Q9NYY8|FAKD2_HUMAN",-23.3583667512,-24.2876480848,-23.1467840751,-22.4094489956,-22.5453578279,-22.4306526999,2,2,5,7,4,5,0.0206815545243619,0.153846153846154,-1.1357797959
"sp|Q9NZ01|TECR_HUMAN",-22.4036370688,NA,NA,-22.8541730169,NA,NA,3,NA,1,3,1,4,NA,NA,NA
"sp|Q9NZ45|CISD1_HUMAN",-19.7387166007,-19.665842111,-19.0279378315,-19.4929754192,-19.6800082812,-19.1899247486,6,5,7,6,7,7,0.927035527842227,0.963691376701967,-0.0231960314000013
"sp|Q9NZ63|TLS1_HUMAN",-21.6760606504,-20.1620101049,-21.1268872858,-23.2199835502,-20.1873449318,-21.1461174021,7,7,7,8,6,7,0.376007540603248,0.717842323651452,0.529495947666668
"sp|Q9NZB2|F120A_HUMAN",-25.3898533214,-22.4317566261,-23.177575437,-23.02187561,-23.3194737592,-23.1559183215,2,6,3,6,9,9,0.37344533062645,0.716240333135039,-0.500639231266668
"sp|Q9NZD4|AHSP_HUMAN",-20.9230866891,NA,NA,-20.9907816842,-21.5281476996,-21.8538840082,3,1,1,3,2,3,NA,NA,NA
"sp|Q9NZI7|UBIP1_HUMAN",-23.8548922217,NA,-22.8519084178,-24.1877007019,NA,NA,1,1,2,3,1,1,NA,NA,NA
"sp|Q9NZI8|IF2B1_HUMAN",-19.7926397162,-19.4359548186,-19.5880347812,-19.2393688711,-19.3540276054,-19.7167946974,28,28,24,34,33,27,0.578017836426914,0.850668968493742,-0.168812714033333
"sp|Q9NZJ9|NUDT4_HUMAN",-22.5372340591,-22.1863005974,NA,NA,-22.2800098979,-22.2116583267,4,5,1,3,3,3,0.696084106728538,0.895155185465556,-0.115933215949998
"sp|Q9NZL4|HPBP1_HUMAN",-20.761268581,-21.1131586415,-20.7016030759,-19.9685409431,-20.4502285987,-20.7512897798,9,9,10,15,9,9,0.20224840487239,0.543766578249337,-0.468656992266666
"sp|Q9NZL9|MAT2B_HUMAN",-22.4012011864,-23.0087927174,-21.6914897567,-22.0681016993,-21.5899002424,-21.5788943988,6,7,6,4,6,5,0.150344257540603,0.462809917355372,-0.621529106666667
"sp|Q9NZM5|NOP53_HUMAN",-23.6518805641,-23.3523274706,-23.5016186196,-22.0207831903,-22.9784484202,-23.4527460544,3,5,5,5,4,4,0.123926769141531,0.435308343409915,-0.684616329799997
"sp|Q9NZN4|EHD2_HUMAN",NA,NA,-23.4013679152,-23.5298082636,NA,NA,1,1,4,3,2,4,NA,NA,NA
"sp|Q9NZN8|CNOT2_HUMAN",-22.8478282452,-23.7882832289,-24.1357034575,-24.3726265792,-23.6546967078,-23.6229818529,3,2,4,2,3,2,0.467369199535963,0.788461538461538,0.292830069433336
"sp|Q9NZT2|OGFR_HUMAN",-21.9623690289,-21.7493073084,-22.0391659162,-22.2031655995,-22.9430711103,-21.3920527444,10,9,7,9,6,9,0.512920823665893,0.819299905392621,0.262482400233331
"sp|Q9NZW5|PALS2_HUMAN",NA,NA,NA,NA,-24.0013216732,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"sp|Q9NZZ3|CHMP5_HUMAN",-20.8235838217,-21.1201694097,-22.4786669336,-21.5515243143,-21.0263117154,-22.0970976869,4,3,2,4,3,3,0.836171548723898,0.943458251150559,0.0841711838666654
"sp|Q9P013|CWC15_HUMAN",-21.0534058739,-21.248310687,-21.1807889242,-20.9511498728,-20.883896749,-20.8656904063,5,4,4,5,5,5,0.354262616009281,0.700980392156863,-0.260589485666667
"sp|Q9P015|RM15_HUMAN",-22.0101647179,-21.0852274581,NA,-20.9652785539,-21.0981837039,-21.5094090356,6,5,7,7,7,5,0.369250145011601,0.713600958657879,-0.356738990200004
"sp|Q9P016|THYN1_HUMAN",-23.0299783751,-21.4773382325,NA,-22.7157345228,-22.864729022,-20.7979150671,4,5,3,3,2,3,0.816011020881671,0.934782608695652,-0.127532099833335
"sp|Q9P031|TAP26_HUMAN",NA,-23.4207551697,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"sp|Q9P032|NDUF4_HUMAN",-22.7213524297,-23.4732778374,-22.1444402462,-22.7471275728,-22.6454484047,-22.1829548816,5,4,2,4,3,3,0.513755510440835,0.819299905392621,-0.254513218066666
"sp|Q9P035|HACD3_HUMAN",NA,NA,-23.2249506623,-23.1459259898,-23.1020107332,-23.8174671942,1,1,2,1,3,1,NA,NA,NA
"sp|Q9P086|MED11_HUMAN",NA,-21.9165302625,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"sp|Q9P0J0|NDUAD_HUMAN",-21.0444798069,-21.2972989355,-21.4885232822,-20.5955258567,-21.6109709121,-21.3761747024,3,2,4,4,3,4,0.804465487238979,0.931818181818182,-0.0825435177999978
"sp|Q9P0J7|KCMF1_HUMAN",-22.8046487274,-23.5456510714,-21.9465834996,-22.5784067085,-21.7833426769,-21.8561823023,2,2,3,2,3,3,0.144345417633411,0.455128205128205,-0.692983870233331
"sp|Q9P0L0|VAPA_HUMAN",-20.7878099246,-21.19049206,-20.742220365,-20.5494488368,-20.7173850106,-21.4823839369,12,10,13,11,10,9,0.959119924593968,0.972893341190336,0.0095651449000016
"sp|Q9P0U4|CXXC1_HUMAN",NA,NA,NA,NA,-24.8130661481,NA,NA,3,NA,NA,2,2,NA,NA,NA
"sp|Q9P1U0|RPA12_HUMAN",NA,NA,NA,-22.0531864043,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"sp|Q9P253|VPS18_HUMAN",NA,NA,NA,-24.5418903446,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"sp|Q9P258|RCC2_HUMAN",-19.5768067645,-19.3441226762,-19.1642135419,-19.1542438035,-19.202914127,-18.9854533537,28,25,31,31,32,33,0.4124063225058,0.75177304964539,-0.247510566133336
"sp|Q9P265|DIP2B_HUMAN",NA,NA,-25.8049465864,-25.9161727586,NA,NA,3,NA,3,5,NA,1,NA,NA,NA
"sp|Q9P270|SLAI2_HUMAN",NA,-23.8388868119,NA,-24.1382380524,NA,-23.9417548272,NA,1,NA,2,1,3,NA,NA,NA
"sp|Q9P275|UBP36_HUMAN",NA,-26.1633315622,-26.5735417738,-27.0869063383,-26.5686343472,-25.3022790868,1,2,2,3,2,4,0.900031612529002,0.956199876619371,-0.049163410566667
"sp|Q9P287|BCCIP_HUMAN",-20.1171409704,-20.2640125967,-20.089849824,-19.6204193583,-19.7641021768,-20.4752405161,13,12,11,18,11,11,0.544676769141531,0.835084513476473,-0.203747113299997
"sp|Q9P289|STK26_HUMAN",-23.4846932502,-22.3963793391,-21.6472345142,-22.6149199815,-23.3961534111,-23.5882666027,8,7,8,6,6,7,0.168107018561485,0.484344422700587,0.690344297266666
"sp|Q9P2E9|RRBP1_HUMAN",-25.4499018365,-24.5402074622,-25.2398627097,-24.5262974875,-24.6577080434,-25.3598347224,6,5,2,9,5,5,0.538933294663573,0.83195211786372,-0.228710585033333
"sp|Q9P2I0|CPSF2_HUMAN",-22.1413542827,-22.635345779,-21.5985119112,-21.6750107087,-21.8455206999,-21.41352195,11,11,11,13,16,10,0.215285237819026,0.557154953429297,-0.480386204766667
"sp|Q9P2J5|SYLC_HUMAN",-21.6532463023,-20.6502688871,-20.8554078952,-20.5874615383,-20.2140678596,-20.5351777476,34,35,33,44,41,36,0.13321099187935,0.439772727272727,-0.607405313033333
"sp|Q9P2N5|RBM27_HUMAN",-22.9196518962,-23.9622785442,-23.9156244094,-22.7387700445,-23.4109424208,-23.3504837532,10,10,9,11,10,9,0.285271171693736,0.636743215031315,-0.432452877100001
"sp|Q9P2R3|ANFY1_HUMAN",-23.5656011704,-24.5108794122,NA,-23.2390366349,-23.5578569463,-23.7472740102,3,1,1,4,2,3,0.208318590487239,0.552173913043478,-0.523517760833332
"sp|Q9P2R7|SUCB1_HUMAN",-22.9877064207,-22.3455054359,-22.7226491075,-21.4098119962,-21.9609974525,-22.0799328442,5,7,6,8,6,6,0.0407043213457077,0.251207729468599,-0.8683728904
"sp|Q9P305|IGO2_YEAST",-21.9334345448,NA,-22.0282428233,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA
"sp|Q9UBB4|ATX10_HUMAN",-20.8790967917,-21.3309187718,-21.1854167366,-21.1655268207,-21.4282933231,-20.5314050581,13,11,11,13,10,14,0.78182192575406,0.921480456589415,-0.0900690327333322
"sp|Q9UBB6|NCDN_HUMAN",-24.0978914983,-24.6331825029,NA,-22.5867333779,-23.4750809545,-24.5791203687,7,6,5,9,7,4,0.14649680974478,0.456869009584665,-0.818558766900001
"sp|Q9UBB9|TFP11_HUMAN",-22.9572104922,-23.582380219,NA,-22.1600295692,-23.5040350008,-22.7650435613,2,2,3,7,4,5,0.309885150812065,0.668678739101274,-0.460092645166672
"sp|Q9UBC2|EP15R_HUMAN",-24.2856130927,-22.7541749111,-22.4518405069,-23.4025603731,-22.4849372218,-23.5465210873,6,10,8,8,8,8,0.948088892111369,0.968499257057949,-0.0192032761666674
"sp|Q9UBD5|ORC3_HUMAN",-23.692928843,-23.2880105276,-22.7419704085,-22.2520390346,-22.6138793958,-23.0304787024,8,7,6,13,6,6,0.140908352668213,0.452069716775599,-0.608837548766665
"sp|Q9UBE0|SAE1_HUMAN",-19.8365916746,-19.5566330262,-19.6976277264,-19.8030504881,-19.9452054056,-20.3638085898,20,16,17,18,13,13,0.299454031322506,0.653688524590164,0.340404018766666
"sp|Q9UBF1|MAGC2_HUMAN",-22.0626764548,-22.6102063025,-22.8525737886,-23.0100447594,-23.003174881,NA,2,3,1,4,2,2,0.194212006960557,0.526126126126126,0.498124304899999
"sp|Q9UBF2|COPG2_HUMAN",-23.1307182316,-23.2533019314,-22.6923129518,-21.8530179851,-22.970548799,-22.3884559649,8,8,8,22,11,8,0.136903277262181,0.447777777777778,-0.621436788600001
"sp|Q9UBI1|COMD3_HUMAN",-21.4065702829,-20.5909221665,-21.1766713184,-22.2308008972,-20.8376202115,-21.0417348978,4,3,4,2,3,4,0.455478538283063,0.773895169578623,0.311997412899998
"sp|Q9UBK8|MTRR_HUMAN",NA,NA,NA,-24.3456028558,-24.3283165237,NA,1,1,NA,1,3,NA,NA,NA,NA
"sp|Q9UBL3|ASH2L_HUMAN",-21.1758615063,-21.3304312607,-20.8426153027,-20.6561067717,-20.755659106,-20.4793622412,16,11,12,14,14,18,0.153460701856148,0.462809917355372,-0.485926650266666
"sp|Q9UBM7|DHCR7_HUMAN",NA,NA,NA,-22.9574439024,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"sp|Q9UBP6|TRMB_HUMAN",-22.9324531944,-21.1237739614,NA,NA,-20.2440190227,-22.7162496107,3,3,NA,2,5,2,0.470070475638051,0.792424242424242,-0.547979261199998
"sp|Q9UBQ0|VPS29_HUMAN",-20.7172648354,-20.4984340689,-20.5858309287,-21.2804885058,-21.2861064102,-20.0944972068,5,6,5,5,5,8,0.458016821345708,0.777435897435897,0.286520763266669
"sp|Q9UBQ5|EIF3K_HUMAN",-19.4611220176,-19.9569966468,-19.5523044744,-19.5964874196,-20.6158366809,-20.018739435,11,8,9,12,9,9,0.270436194895592,0.626373626373626,0.420213465566668
"sp|Q9UBQ7|GRHPR_HUMAN",-20.4849091093,-20.161674022,-20.2132446062,-19.8374468314,-20.8381238515,-20.1508304206,5,10,7,8,7,6,0.955913138051044,0.971023063276168,-0.0111422113333326
"sp|Q9UBR2|CATZ_HUMAN",-21.6027325948,NA,-22.844879822,-22.24501913,-23.5233183228,NA,4,3,4,4,2,2,0.254812354988399,0.597560975609756,0.660362517999999
"sp|Q9UBS4|DJB11_HUMAN",-20.656844772,-21.22444809,-21.8844778956,-22.1336639138,-20.6002929377,-21.6824922415,12,8,6,7,9,7,0.612265516241299,0.858573216520651,0.216892778466665
"sp|Q9UBS8|RNF14_HUMAN",-24.0217666671,-23.7457725934,-23.8418846289,-24.0414136748,NA,NA,1,2,2,1,2,1,NA,NA,NA
"sp|Q9UBT2|SAE2_HUMAN",-20.5001924284,-20.2412094629,-20.2860467222,-20.1042053655,-20.0039114878,-20.0188770354,17,19,16,21,20,22,0.304181119489559,0.657413676371022,-0.300151574933334
"sp|Q9UBU8|MO4L1_HUMAN",-22.8309033443,-22.4186934668,NA,-22.4826308508,-23.2536795954,NA,2,2,1,2,2,1,0.534715052204176,0.830641439778496,0.243356817549998
"sp|Q9UBU9|NXF1_HUMAN",-20.4090722844,-21.3452615982,-21.4147461044,-20.3978303981,-21.4708129773,-20.7486026437,18,9,10,17,12,15,0.635114704176334,0.86899918633035,-0.183944655966666
"sp|Q9UBV8|PEF1_HUMAN",-23.3216539027,-23.5272493945,-23.66441827,-22.7948720288,-23.2429908183,-22.2444927392,4,4,8,4,4,4,0.0713895011600928,0.32890365448505,-0.743655326966667
"sp|Q9UBX3|DIC_HUMAN",-21.8552603137,-21.2611957692,-21.6496290851,-21.7351431343,-21.5202223786,-22.0028252837,6,6,7,8,8,8,0.603858033642691,0.855152027027027,0.164035209533335
"sp|Q9UDW1|QCR9_HUMAN",-20.9025322768,-19.2737430286,-20.3644636159,-20.7635274991,-19.7542193174,-18.8723369408,2,2,1,2,1,2,0.439211716937355,0.76707252514558,-0.383551721333333
"sp|Q9UDY2|ZO2_HUMAN",NA,NA,NA,-24.3289094664,NA,NA,1,0,1,2,0,2,NA,NA,NA
"sp|Q9UDY4|DNJB4_HUMAN",-23.7857811672,NA,NA,NA,NA,-23.7613194967,6,2,2,7,2,4,NA,NA,NA
"sp|Q9UER7|DAXX_HUMAN",NA,-23.7246321056,-23.4840221003,NA,NA,-22.3180321567,1,3,3,2,2,4,NA,NA,NA
"sp|Q9UET6|TRM7_HUMAN",NA,-23.5050672022,NA,-23.5399199101,-23.3508687553,NA,1,2,2,2,2,1,NA,NA,NA
"sp|Q9UEY8|ADDG_HUMAN",-23.4471745259,NA,-23.8969007357,-24.4022739286,-24.5599342724,NA,4,3,4,5,3,3,0.0447906032482599,0.262443438914027,0.809066469699999
"sp|Q9UFC0|LRWD1_HUMAN",-23.2192356881,-22.9042482917,-24.5305842307,-23.1750075364,NA,NA,4,5,4,6,6,7,NA,NA,NA
"sp|Q9UFG5|CS025_HUMAN",-21.4480847418,NA,-22.1764260154,-21.0203855512,-21.0866492473,-21.3127747608,1,1,1,2,2,1,0.0938712296983759,0.370898716119829,-0.672318858833332
"sp|Q9UG63|ABCF2_HUMAN",-20.4409554631,-20.9413473027,-20.4460187786,-20.72797658,-20.3150853911,-20.6716829753,23,21,19,25,24,25,0.888310324825986,0.954119850187266,-0.0378588660000005
"sp|Q9UGI8|TES_HUMAN",-21.6918781331,-20.5961854154,-20.9591714778,-21.4218064729,-20.938862688,-21.2792597765,8,12,11,11,11,7,0.708836716937355,0.89873417721519,0.130897970366664
"sp|Q9UGN5|PARP2_HUMAN",NA,NA,-24.4904949716,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"sp|Q9UGP4|LIMD1_HUMAN",-23.9217742654,NA,-23.5414769651,NA,NA,NA,1,1,3,NA,NA,3,NA,NA,NA
"sp|Q9UGR2|Z3H7B_HUMAN",-25.0437849215,NA,NA,-25.0701071993,NA,NA,2,1,3,3,1,1,NA,NA,NA
"sp|Q9UGV2|NDRG3_HUMAN",-23.4740916394,-21.7552309668,-21.8889221875,-22.3850933276,-22.9168251504,-22.1620273767,4,5,3,7,5,6,0.782251015081207,0.921534739025233,0.115233687
"sp|Q9UH17|ABC3B_HUMAN",-22.8783544698,NA,-25.6515410668,-23.1040442696,NA,NA,5,3,3,3,3,3,NA,NA,NA
"sp|Q9UHA3|RLP24_HUMAN",NA,-21.2020399211,-22.6609044191,-21.5500920936,-22.1158289892,NA,NA,2,2,2,1,1,0.831504930394432,0.94212962962963,-0.0985116287000025
"sp|Q9UHA4|LTOR3_HUMAN",-21.2241320265,-20.3807466692,-20.8509839774,-20.4585975636,-20.3837857018,-19.1524669583,5,4,4,4,5,5,0.0860697505800464,0.358936484490399,-0.820337483133333
"sp|Q9UHB6|LIMA1_HUMAN",NA,NA,-24.1525749497,-22.4702439811,-22.1091108735,-23.8424520712,5,6,6,8,5,7,NA,NA,NA
"sp|Q9UHB9|SRP68_HUMAN",-20.7449683027,-21.9811578771,-21.3332141099,-20.3087521971,-20.9882368145,-21.2248953589,18,15,11,17,12,11,0.232707511600928,0.573730862207897,-0.512485306399999
"sp|Q9UHD1|CHRD1_HUMAN",-18.70209812,-18.9190540081,-18.8577935971,-19.0632916931,-18.7065519951,-18.6571492236,25,20,17,28,22,24,0.935194315545244,0.966606498194946,-0.0173176044666654
"sp|Q9UHD2|TBK1_HUMAN",NA,NA,-24.1639511329,-24.2470149964,NA,-24.3090811935,5,NA,1,3,2,3,NA,NA,NA
"sp|Q9UHD8|SEPT9_HUMAN",-21.4462316112,-21.0426550435,-20.3758586473,-20.9696830636,-20.8738978408,-20.8673424476,12,13,15,14,16,15,0.869502465197216,0.949889694295619,-0.0512739833333349
"sp|Q9UHD9|UBQL2_HUMAN",-21.9808670749,-21.4720399651,-21.4136074451,-22.0405909252,-21.6763093343,-21.339904196,6,6,9,8,7,10,0.837753045243619,0.943458251150559,0.0634299901333364
"sp|Q9UHI6|DDX20_HUMAN",-23.0615403914,-22.4051884924,-21.9696831722,-22.9634719305,-22.5368266511,-23.6642020068,7,8,11,9,9,6,0.19099376450116,0.524977293369664,0.576029510799998
"sp|Q9UHJ6|SHPK_HUMAN",-23.5367797075,-23.5312070179,-23.1029427406,-22.8657671277,-23.6462145811,-23.4076422873,4,1,2,2,2,3,0.790629060324826,0.926218256691833,-0.0837684899666655
"sp|Q9UHL4|DPP2_HUMAN",NA,NA,NA,-24.2814388885,-23.7099723741,NA,1,2,2,2,4,3,NA,NA,NA
"sp|Q9UHQ1|NARF_HUMAN",-23.6015668436,NA,-23.5084708726,NA,-23.9280132498,-22.5494165724,3,1,6,4,4,5,0.509033787703016,0.816531294792164,-0.316303947000002
"sp|Q9UHR4|BI2L1_HUMAN",-22.9779003434,NA,-22.4201645624,-22.8253548992,-22.7759741559,-22.9255584367,2,1,2,2,1,1,0.646497099767981,0.874148296593186,0.143263377700002
"sp|Q9UHR5|S30BP_HUMAN",-21.718136143,-22.7338276923,-21.7457891412,-22.9215879691,-22.8458545224,-21.0571199056,3,4,5,4,4,4,0.652934164733179,0.87519747235387,0.208936473533335
"sp|Q9UHR6|ZNHI2_HUMAN",-23.9028529483,NA,-22.1420163607,-22.4118782733,-23.7512393188,-22.3720042206,3,3,3,3,5,3,0.729396751740139,0.903353768481789,-0.17739405026667
"sp|Q9UHV9|PFD2_HUMAN",-20.9787264942,-20.4031352201,-20.7147228829,-20.3137288308,-20.6527695981,-19.6239923333,9,4,6,10,9,7,0.205616879350348,0.548556430446194,-0.502031278333334
"sp|Q9UHW5|GPN3_HUMAN",NA,-22.8725830515,NA,-22.9771443178,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA
"sp|Q9UHX1|PUF60_HUMAN",-19.5392138551,-19.7331791729,-19.6681554611,-19.4872131754,-19.3546296552,-19.8217092697,25,21,20,24,27,23,0.745622389791183,0.903825527350733,-0.092332129599999
"sp|Q9UHY1|NRBP_HUMAN",-22.9291195756,-21.1154022488,-22.1543641871,-21.8197257854,-22.3941189019,-22.6805310716,3,6,5,4,4,6,0.592110788863109,0.851455479452055,0.231829915799999
"sp|Q9UHY7|ENOPH_HUMAN",-20.3672736687,-20.3261900953,-20.7760334978,-19.8603822773,-19.4465185125,-20.3483106248,8,6,6,9,9,7,0.12597810324826,0.435866983372922,-0.604761949066667
"sp|Q9UI09|NDUAC_HUMAN",-21.922828543,-21.7052059908,-21.4910917366,-20.9443462535,-21.7476289818,-21.7990216062,2,3,2,3,3,3,0.546362093967517,0.835535307517084,-0.209376476300001
"sp|Q9UI10|EI2BD_HUMAN",-21.2430440076,-22.7040880457,-22.5229876099,-22.484640528,-22.9125754877,-23.2153214447,9,5,5,9,9,5,0.130039298143852,0.439497716894977,0.714139265733333
"sp|Q9UI12|VATH_HUMAN",-22.4329465135,-22.2091210651,-22.5128845392,-22.2473834538,-22.3843003649,-21.522605193,3,4,6,5,6,6,0.349519431554524,0.698452012383901,-0.3335543687
"sp|Q9UI26|IPO11_HUMAN",-21.9970319223,-22.8002889177,-22.9432251437,-21.2419113819,-21.6550150361,-22.8452306211,18,12,13,19,11,11,0.168249709976798,0.484344422700587,-0.666129648200002
"sp|Q9UI30|TR112_HUMAN",-20.4279958268,-19.8799971817,-20.1486265825,-20.1809095045,-20.1947126456,-19.935636811,4,5,5,5,5,4,0.860076711136891,0.947926711668274,-0.0484535433000026
"sp|Q9UIA9|XPO7_HUMAN",-21.7366677466,-21.6247540614,-21.5379258079,-21.7644488846,-22.1965618775,-22.9152077816,18,16,21,21,20,17,0.11144533062645,0.406410256410256,0.658956975933332
"sp|Q9UIC8|LCMT1_HUMAN",NA,NA,NA,-23.7116275126,NA,NA,1,NA,NA,3,NA,3,NA,NA,NA
"sp|Q9UID3|VPS51_HUMAN",-24.7673424363,-24.3411345585,NA,-23.3901946736,-23.75877037,-24.471804862,3,2,2,3,3,5,0.128091647331787,0.437722419928826,-0.680648528866666
"sp|Q9UIF9|BAZ2A_HUMAN",NA,-26.0816312629,-25.6029649237,NA,NA,NA,3,3,4,1,1,2,NA,NA,NA
"sp|Q9UIG0|BAZ1B_HUMAN",NA,-25.4861269581,NA,-25.6893656945,NA,-25.2809572733,1,2,1,3,NA,1,NA,NA,NA
"sp|Q9UIJ7|KAD3_HUMAN",-22.5014828403,-21.2986855828,-21.3639450288,-23.0545294798,-21.2206664239,-21.2904943129,3,3,2,3,2,4,0.768628335266821,0.914655473941938,0.133858921566667
"sp|Q9UIL1|SCOC_HUMAN",-21.498591337,-22.4261673675,NA,-21.7246381784,-21.3028542589,-21.4361150797,1,1,NA,1,1,1,0.239996664733179,0.581487341772152,-0.474510179916667
"sp|Q9UIV1|CNOT7_HUMAN",NA,NA,NA,-22.8333847943,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"sp|Q9UJA5|TRM6_HUMAN",-23.8076392034,NA,NA,-23.0649647867,-24.0677632656,NA,3,3,2,3,2,2,NA,NA,NA
"sp|Q9UJC5|SH3L2_HUMAN",-20.7301095257,-21.5419817714,-21.4211931903,-20.7129771881,-21.2766096617,-20.4542480703,3,2,1,3,2,2,0.281851943155452,0.634129213483146,-0.416483189099999
"sp|Q9UJS0|CMC2_HUMAN",-23.8370939064,-22.6665404208,NA,-23.6207709145,NA,NA,4,8,3,5,6,3,NA,NA,NA
"sp|Q9UJU6|DBNL_HUMAN",-21.3749706809,-22.2636388222,-22.3930929757,-22.1800274433,-21.6877730146,-21.4854412554,10,6,8,6,5,8,0.54383280162413,0.835084513476473,-0.226153588500001
"sp|Q9UJV9|DDX41_HUMAN",-22.1007526677,-22.6718575116,-23.0611594411,-21.9220649057,-22.1490499734,-23.338414114,10,11,7,9,6,7,0.724683729698376,0.902955125866472,-0.141413542433334
"sp|Q9UJW0|DCTN4_HUMAN",NA,-23.4373056096,NA,-23.4240742107,-23.6355231124,NA,NA,2,1,2,2,1,NA,NA,NA
"sp|Q9UJX2|CDC23_HUMAN",NA,-24.1066157866,NA,-24.5362121058,NA,-24.2672776352,4,3,1,2,3,2,NA,NA,NA
"sp|Q9UJX3|APC7_HUMAN",-21.2585299701,-21.5203914552,-21.3909761936,-21.1191152507,-21.1315312442,-21.2327048232,9,8,9,11,10,9,0.41961252900232,0.75177304964539,-0.228848766933332
"sp|Q9UJX4|APC5_HUMAN",NA,-23.3337625725,-24.2628142887,-25.2160165719,-22.8239688172,-24.1662571131,4,5,3,2,9,3,0.622458526682135,0.86356141797197,0.270459070133334
"sp|Q9UJX5|APC4_HUMAN",-24.4933401659,-23.9366731604,-25.2703712967,-24.5585176308,-23.6460653528,-24.2105985552,1,4,3,2,3,3,0.312185324825986,0.67000668002672,-0.428401028066666
"sp|Q9UJY4|GGA2_HUMAN",NA,-24.5790124977,NA,-22.8592723857,-23.8947939928,-23.7964018026,NA,1,NA,2,2,1,NA,NA,NA
"sp|Q9UJZ1|STML2_HUMAN",-20.2573534911,-19.9165657314,-19.8912529733,-20.2779249331,-19.6838816167,-19.9639489776,13,11,12,8,11,12,0.869038863109049,0.949889694295619,-0.0464722228000021
"sp|Q9UK41|VPS28_HUMAN",-21.8778103704,-20.9649791577,-21.4711938381,-21.0548805107,-21.4888364549,-22.3220720522,3,3,3,3,3,2,0.636337006960557,0.870640713706407,0.183935217200002
"sp|Q9UK53|ING1_HUMAN",NA,NA,NA,NA,-24.238783357,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sp|Q9UK59|DBR1_HUMAN",NA,NA,-24.4954654243,NA,NA,NA,1,1,3,NA,2,NA,NA,NA,NA
"sp|Q9UK76|JUPI1_HUMAN",-18.7975080242,-19.4344991313,-18.9360491558,-18.7882076013,-18.5478722469,-18.8127787247,6,8,6,6,7,8,0.310621519721578,0.669792364367046,-0.339732579466666
"sp|Q9UKD2|MRT4_HUMAN",-21.352012834,-20.924152824,-20.9876907198,-22.1218240703,-21.0262409794,-22.564215569,11,10,15,12,13,14,0.0845681554524362,0.35258358662614,0.816141413633332
"sp|Q9UKE5|TNIK_HUMAN",NA,-24.7143219297,-24.6104900876,NA,-24.8672396967,NA,3,3,3,5,3,NA,NA,NA,NA
"sp|Q9UKF6|CPSF3_HUMAN",-21.4991564406,-22.6637746549,-21.7487875618,-20.9173613028,-21.0916558516,-21.9173200126,14,10,11,17,12,13,0.14443126450116,0.455128205128205,-0.661793830100002
"sp|Q9UKI8|TLK1_HUMAN",NA,NA,NA,-25.633382891,NA,NA,3,4,2,2,4,4,NA,NA,NA
"sp|Q9UKJ3|GPTC8_HUMAN",-25.9408344171,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA
"sp|Q9UKK9|NUDT5_HUMAN",-19.2484083282,-19.138504978,-19.0642647753,-19.3697410612,-19.0264878296,-19.6531221808,10,10,11,11,11,14,0.522287267981439,0.825882352941177,0.1993909967
"sp|Q9UKL0|RCOR1_HUMAN",-21.7280402365,-21.2475035359,-21.4666451039,-21.3147265259,-21.2130734132,-22.2573590968,6,6,6,7,9,5,0.744193880510441,0.903825527350733,0.114323386533332
"sp|Q9UKM9|RALY_HUMAN",-20.6835097863,-20.6690039437,-20.6997443561,-20.7206643724,-22.2681918044,-20.3235423656,11,12,13,11,11,11,0.364066850348028,0.709211318482842,0.420046818766668
"sp|Q9UKN8|TF3C4_HUMAN",-23.0339746766,-22.3355654615,-23.7682981509,-22.3164866109,-22.4129162687,-21.5844401058,9,8,8,10,8,10,0.0561941705336427,0.282692307692308,-0.941331767866668
